,,,,,,,,,,,,,,,,,
,Macro-economic Indicators - Weekly,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Period,Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),Standing Deposit Facility (SDF) Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
,18-Oct-2024,1.47,1.70,1.99,3.35,6.75,6.75,9.10,6.45,6.55,6.54,6.78,4.50,18.00,6.50,6.25,"688,267.42"
,11-Oct-2024,1.71,1.78,2.05,3.35,6.75,6.75,9.10,6.43,6.54,6.53,6.75,4.50,18.00,6.50,6.25,"690,430.22"
,04-Oct-2024,1.59,1.75,2.15,3.35,6.75,6.75,9.10,6.47,6.56,6.55,6.80,4.50,18.00,6.50,6.25,"701,175.92"
,27-Sep-2024,1.65,1.74,2.11,3.35,6.75,6.75,9.10,-,-,-,6.78,4.50,18.00,6.50,6.25,"704,884.80"
,20-Sep-2024,1.66,1.78,2.03,3.35,6.75,6.75,9.10,-,-,-,6.80,4.50,18.00,6.50,6.25,"692,296.35"
,13-Sep-2024,1.41,1.58,1.84,3.35,6.75,6.75,9.10,6.65,6.72,6.70,6.84,4.50,18.00,6.50,6.25,"689,458.06"
,06-Sep-2024,1.28,1.45,1.73,3.35,6.75,6.75,9.10,6.63,6.73,6.72,6.91,4.50,18.00,6.50,6.25,"689,234.82"
,30-Aug-2024,1.12,1.34,1.64,3.35,6.75,6.75,9.10,6.63,6.72,6.72,6.90,4.50,18.00,6.50,6.25,"683,986.62"
,23-Aug-2024,1.08,1.32,1.61,3.35,6.75,6.75,9.10,6.64,6.72,6.73,6.90,4.50,18.00,6.50,6.25,"681,687.68"
,16-Aug-2024,1.05,1.29,1.59,3.35,6.75,6.75,9.10,6.62,6.73,6.72,6.91,4.50,18.00,6.50,6.25,"674,664.31"
,09-Aug-2024,1.06,1.31,1.60,3.35,6.75,6.75,9.10,6.64,6.73,6.73,6.93,4.50,18.00,6.50,6.25,"670,118.77"
