,"GDP At Market Prices 
(At Current Prices)
(₹ Crore)",Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,"Commercial Paper (Amount Outstanding) 
(₹ Crore)",Consumer Price Index for Food and Beverages,Reverse Repo Rate (%),Bank Rate (%),Base Rate (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)",Crude Oil Prices,"Overall Balance of Payments Net 
(US $ Million)","International Investment Position Net
(US $ Million)","India's External Debt - Gross Total 
 (US $ Million) ","Net Foreign Direct Investment 
(US $ Million)","Direct Investment to India 
(US $ Million)","Foreign Direct Investment By India
 (US $ Million)","Net Portfolio Investment 
(US $ Million)","Total Investment Inflows 
(US $ Million)","Foreign Trade Exports Total 
(US $ Million)","Foreign Trade Imports Total 
(US $ Million)","Foreign Trade Balance Total 
(US $ Million)",Exchange Rate of Indian Rupee vis-à-vis US Dollar (Month End)
2017-12-01,4339193.52,137.2,130.6,115.7,900.0,906.0,409053.31,140.5,5.75,6.25,8.85,6.0,409366.6,64.73,9434.48,,513026.88,2735.67,3284.86,549.19,-120.22,2615.45,27832.56,42030.79,-14198.23,63.93
2018-03-01,4584686.0,136.5,140.3,116.3,887.0,894.0,372577.41,137.2,5.75,6.25,8.65,6.0,424361.1,68.57,13236.75,,529278.23,2051.24,3213.56,1162.31,-1390.18,661.06,29167.03,42801.16,-13634.13,65.04
2018-06-01,4569369.11,138.5,127.7,119.1,894.0,902.0,491833.06,139.4,6.0,6.5,8.7,6.25,406058.4,68.76,-11338.43,-407554.06,514441.5,1644.54,3015.49,1370.95,-3881.72,-2237.18,27158.08,44806.59,-17648.51,68.58
2018-09-01,4656017.01,140.2,128.8,120.9,910.0,917.0,556198.16,140.4,6.25,6.75,8.85,6.5,400525.1,65.31,-1867.78,-387338.91,509765.61,3614.89,4671.12,1056.23,-1798.85,1816.04,27865.97,42819.59,-14953.62,72.55
2018-12-01,4872998.34,140.1,133.9,119.7,913.0,921.0,498728.65,138.2,6.25,6.75,8.95,6.5,393404.3,53.79,-4295.64,-426900.3,521202.04,3112.49,4236.52,1124.02,-1343.96,1768.53,27858.29,42351.02,-14492.73,69.79
2019-03-01,4801283.99,140.4,144.1,119.9,924.0,932.0,483084.45,138.1,6.0,6.5,8.95,6.25,411905.0,63.91,14162.49,-437021.29,543134.84,789.18,3239.58,2450.4,8622.96,9412.13,32725.19,43690.44,-10965.26,69.17
2019-06-01,4951378.35,145.8,129.3,121.5,950.0,957.0,503943.3,142.7,5.5,6.0,8.95,5.75,427678.8,58.58,13983.99,-451808.04,557057.23,6788.6,7570.45,781.85,1895.73,8684.33,25027.35,41032.49,-16005.15,68.92
2019-09-01,4868137.04,145.8,122.9,121.3,976.0,983.0,459742.1,147.0,5.15,5.65,8.95,5.4,433593.66,54.18,5118.49,-436979.28,557518.85,1981.31,2949.69,968.38,2382.54,4363.85,26013.73,37694.82,-11681.09,70.69
2019-12-01,5135344.64,150.4,134.5,123.0,1014.0,1019.0,414906.3,155.0,4.9,5.4,8.45,5.15,457467.69,51.56,21601.23,-425168.99,563963.81,4326.41,5511.98,1185.56,-611.42,3715.0,27096.05,39594.1,-12498.05,71.27
2020-03-01,5148732.82,148.6,117.2,120.4,1007.0,1013.0,344526.95,148.9,4.0,4.65,8.15,4.4,475561.39,18.84,,-375407.96,558372.0,3974.17,4936.72,962.55,-14635.16,-10660.99,21490.67,31470.92,-9980.25,75.39
2020-06-01,3893942.58,151.8,107.9,119.3,1018.0,1024.0,391482.3,154.0,3.35,4.25,7.4,4.0,506837.56,40.27,19846.21,-347044.97,555224.67,-914.4,64.18,978.58,3174.45,2260.05,22033.15,21323.55,709.6,75.53
2020-09-01,4728281.28,156.4,124.1,122.9,1037.0,1043.0,362310.1,161.4,3.35,4.25,7.4,4.0,542020.66,35.79,31568.45,-337783.71,556794.19,2593.58,4117.64,1524.07,1177.95,3771.53,27559.04,30518.35,-2959.31,73.8
2020-12-01,5474171.37,157.3,137.4,125.4,1047.0,1053.0,365185.05,161.0,3.35,4.25,7.3,4.0,580840.83,52.2,32482.71,-345222.59,563756.29,6239.35,7130.1,890.75,8551.18,14790.53,27216.29,42934.54,-15718.25,73.05
2021-03-01,5757700.77,156.8,145.6,129.9,1035.0,1043.0,364374.3,156.7,3.35,4.25,7.4,4.0,579284.59,63.58,3389.08,-354941.36,573663.12,755.27,2066.52,1311.25,-791.6,-36.33,35256.6,48898.86,-13642.26,73.5
2021-06-01,5178170.07,161.3,122.8,133.7,1057.0,1065.0,376117.85,162.6,3.35,4.25,7.4,4.0,608999.19,73.95,31870.19,-330354.3,575261.36,354.15,2555.24,2201.09,1251.7,1605.85,32493.0,42098.26,-9605.27,74.35
