,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,30-Dec-2022,18105.3,48906.28,6.25,3.35,6.65,5.15,82.7862
,29-Dec-2022,18191,49175.41,6.25,3.35,6.6,4.3,82.8346
,28-Dec-2022,18122.5,48724.69,6.25,3.35,6.5,4.3,82.9183
,27-Dec-2022,18132.3,48786.71,6.25,3.35,6.4,4.3,82.7936
,26-Dec-2022,18014.6,48501.87,6.25,3.35,6.55,4.3,82.7373
,25-Dec-2022,wh,wh,wh,wh,wh,wh,wh
,24-Dec-2022,,,6.25,3.35,,,
,23-Dec-2022,17806.8,47533.63,6.25,3.35,6.55,4.3,82.8685
,22-Dec-2022,18127.35,48274.58,6.25,3.35,6.6,4.3,82.6679
,21-Dec-2022,18199.1,48487.11,6.25,3.35,6.6,4.3,82.7736
,20-Dec-2022,18385.3,49311.76,6.25,3.35,6.6,4.3,82.7902
,19-Dec-2022,18420.45,49367.86,6.25,3.35,6.6,4.3,82.6405
,18-Dec-2022,wh,wh,wh,wh,wh,wh,wh
,17-Dec-2022,,,6.25,3.35,6.1,5.1,
,16-Dec-2022,18269,49103.16,6.25,3.35,6.5,5.1,82.8184
,15-Dec-2022,18414.9,49439.97,6.25,3.35,6.4,4.3,82.4822
,14-Dec-2022,18660.3,50032.07,6.25,3.35,6.15,4.4,82.517
,13-Dec-2022,18608,49926.19,6.25,3.35,6.2,4.3,82.7154
,12-Dec-2022,18497.15,49688.67,6.25,3.35,6.15,4.3,82.6425
,11-Dec-2022,wh,wh,wh,wh,wh,wh,wh
,10-Dec-2022,,,6.25,3.35,,,
,09-Dec-2022,18496.6,49698.8,6.25,3.35,6.18,4.3,82.2092
,08-Dec-2022,18609.35,49652.21,6.25,3.35,6.15,4.3,82.2844
,07-Dec-2022,18560.5,49134.87,6.25,3.35,6.15,4.3,82.5391
,06-Dec-2022,18642.75,49190.43,6.25,3.35,5.8,4.15,82.28
,05-Dec-2022,18701.05,49404.48,6.25,3.35,5.8,4.5,81.5855
,04-Dec-2022,wh,wh,wh,wh,wh,wh,wh
,03-Dec-2022,,,6.25,3.35,5.55,5.15,
,02-Dec-2022,18696.1,49179.36,5.9,3.35,5.65,5.15,81.1771
,01-Dec-2022,18812.5,49335.6,5.9,3.35,5.85,4.3,81.1512
,30-Nov-2022,18758.35,49348.18,5.9,3.35,5.9,4.15,81.597
,29-Nov-2022,18618.05,49117.39,5.9,3.35,6.1,4.3,81.7121
,28-Nov-2022,18562.75,49060.21,5.9,3.35,6.2,4.3,81.7545
,27-Nov-2022,wh,wh,wh,wh,wh,wh,wh
,26-Nov-2022,,,5.9,3.35,,,
,25-Nov-2022,18512.75,49016.99,5.9,3.35,6.2,4.3,81.5289
,24-Nov-2022,18484.1,49178.74,5.9,3.35,6.3,4.15,81.7655
,23-Nov-2022,18267.25,48827.25,5.9,3.35,6.3,4.15,81.8165
,22-Nov-2022,18244.2,48503.69,5.9,3.35,6.3,4.15,81.7742
,21-Nov-2022,18159.95,48417.46,5.9,3.35,6.3,4.2,81.7732
,20-Nov-2022,wh,wh,wh,wh,wh,wh,wh
,19-Nov-2022,,,5.9,3.35,5.9,5.1,
,18-Nov-2022,18307.65,48545.2,5.9,3.35,5.9,5.1,81.6975
,17-Nov-2022,18343.9,48528.11,5.9,3.35,5.9,4.75,81.6335
,16-Nov-2022,18409.65,48621.86,5.9,3.35,5.9,4.1,81.3354
,15-Nov-2022,18403.4,48394.13,5.9,3.35,5.9,4.1,81.428
,14-Nov-2022,18329.15,48058.29,5.9,3.35,5.9,4.1,81.2332
,13-Nov-2022,wh,wh,wh,wh,wh,wh,wh
,12-Nov-2022,,,5.9,3.35,,,
,11-Nov-2022,18349.7,48101.36,5.9,3.35,5.95,4.1,80.6483
,10-Nov-2022,18028.2,47628.23,5.9,3.35,5.95,4.1,81.7421
,09-Nov-2022,18157,47898.81,5.9,3.35,6.05,4.1,81.48
,08-Nov-2022,,,5.9,3.35,0,0,
,07-Nov-2022,18202.8,47781.57,5.9,3.35,5.95,4.75,82.2112
,06-Nov-2022,wh,wh,wh,wh,wh,wh,wh
,05-Nov-2022,,,5.9,3.35,6.15,5.2,
,04-Nov-2022,18117.15,47315.66,5.9,3.35,5.9,5.1,82.5287
,03-Nov-2022,18052.7,47319.83,5.9,3.35,5.9,4.1,82.8835
,02-Nov-2022,18082.85,47176.99,5.9,3.35,6,4.1,82.765
,01-Nov-2022,18145.4,47348.55,5.9,3.35,6.25,4,82.7126
,31-Oct-2022,18012.2,47398.64,5.9,3.35,6.25,5,82.3934
,30-Oct-2022,wh,wh,wh,wh,wh,wh,wh
,29-Oct-2022,,,5.9,3.35,6.1,5.25,
,28-Oct-2022,17786.8,47043.97,5.9,3.35,6.25,5.25,82.4092
,27-Oct-2022,17736.95,47385.23,5.9,3.35,6.25,4.1,82.3889
,26-Oct-2022,,,5.9,3.35,0,0,
,25-Oct-2022,17656.35,47116.99,5.9,3.35,6.25,4.25,82.7626
,24-Oct-2022,17730.75,47380.29,5.9,3.35,0,0,
,23-Oct-2022,wh,wh,wh,wh,wh,wh,wh
,22-Oct-2022,,,5.9,3.35,,,
,21-Oct-2022,17576.3,46849.58,5.9,3.35,6.31,4.25,82.8619
,20-Oct-2022,17563.95,45900.8,5.9,3.35,6.25,4.25,83.2042
,19-Oct-2022,17512.25,46172.57,5.9,3.35,6.2,4.2,82.3735
,18-Oct-2022,17486.95,46116.48,5.9,3.35,6.25,4.2,82.2279
,17-Oct-2022,17311.8,45686.96,5.9,3.35,6.25,4.2,82.4047
,16-Oct-2022,wh,wh,wh,wh,wh,wh,wh
,15-Oct-2022,,,5.9,3.35,5.55,5,
,14-Oct-2022,17185.7,44968.67,5.9,3.35,6.15,5,82.3877
,13-Oct-2022,17014.35,44214.59,5.9,3.35,6.25,4.2,82.4013
,12-Oct-2022,17123.6,44753.9,5.9,3.35,6.25,4.2,82.2411
,11-Oct-2022,16983.55,44261.1,5.9,3.35,6.25,4.85,82.3901
,10-Oct-2022,17241,44656.7,5.9,3.35,6.25,4.85,82.4028
,09-Oct-2022,wh,wh,wh,wh,wh,wh,wh
,08-Oct-2022,,,5.9,3.35,,,
,07-Oct-2022,17314.65,44720.98,5.9,3.35,6.25,4.75,82.4
,06-Oct-2022,17331.8,44818.91,5.9,3.35,5.9,4.7,81.7044
,05-Oct-2022,,,5.9,3.35,0,0,
,04-Oct-2022,17274.3,44619.84,5.9,3.35,5.9,4.8,81.4267
,03-Oct-2022,16887.35,43431.3,5.9,3.35,5.85,4.1,81.7417
,02-Oct-2022,wh,wh,wh,wh,wh,wh,wh
,01-Oct-2022,,,5.9,3.35,6,5,
,30-Sep-2022,17094.35,44179.79,5.9,3.35,5.65,4.3,81.5522
,29-Sep-2022,16818.1,43048.38,5.9,3.35,5.75,3.8,81.8633
,28-Sep-2022,16858.6,43229.24,5.9,3.35,5.75,3.8,81.9005
,27-Sep-2022,17007.4,43896.57,5.9,3.35,5.75,3.8,81.372
,26-Sep-2022,17016.3,44243.68,5.9,3.35,5.75,3.8,81.575
,25-Sep-2022,wh,wh,wh,wh,wh,wh,wh
,24-Sep-2022,,,5.9,3.35,,,
,23-Sep-2022,17327.35,45280.9,5.4,3.35,5.7,3.8,80.9165
,22-Sep-2022,17629.8,46440.06,5.4,3.35,5.8,3.8,80.7246
,21-Sep-2022,17718.35,47119.91,5.4,3.35,5.85,3.8,79.9226
,20-Sep-2022,17816.25,47414.75,5.4,3.35,5.8,4,79.6778
,19-Sep-2022,17622.25,46828.24,5.4,3.35,5.8,4,79.6657
,18-Sep-2022,wh,wh,wh,wh,wh,wh,wh
,17-Sep-2022,,,5.4,3.35,5.65,4.1,
